login,completed_tasks,job_days,day_avg
login0,2172,39,55.69230769230769
login1,3513,23,152.7391304347826
login2,7479,43,173.93023255813952
login3,19056,43,443.16279069767444
login4,366,22,16.636363636363637
login5,3611,22,164.13636363636363
login6,1274,41,31.073170731707318
login7,32221,43,749.3255813953489
login8,2034,43,47.30232558139535
login9,2192,41,53.46341463414634
login10,136,28,4.857142857142857
login11,237,21,11.285714285714286
login12,5774,40,144.35
login13,1138,31,36.70967741935484
login14,815,36,22.63888888888889
login15,3270,42,77.85714285714286
login16,3350,39,85.8974358974359
login17,8669,43,201.6046511627907
login18,1915,42,45.595238095238095
login19,246,36,6.833333333333333
login20,174,23,7.565217391304348
login21,391,43,9.093023255813954
login22,9454,31,304.96774193548384
login23,2593,42,61.73809523809524
login24,979,34,28.794117647058822
login25,2,1,2.0
login26,392,39,10.051282051282051
login27,3237,30,107.9
login28,3355,43,78.02325581395348
login29,1703,40,42.575
login30,892,33,27.03030303030303
login31,121,31,3.903225806451613
login32,3149,41,76.8048780487805
login33,599,22,27.227272727272727
login34,1845,40,46.125
login35,6602,43,153.53488372093022
login36,2695,37,72.83783783783784
login37,1927,43,44.81395348837209
login38,632,14,45.142857142857146
login39,1473,39,37.76923076923077
login40,415,23,18.043478260869566
login41,1927,43,44.81395348837209
login42,5324,42,126.76190476190476
login43,1222,17,71.88235294117646
login44,1859,42,44.26190476190476
login45,961,10,96.1
login46,2578,24,107.41666666666667
login47,2404,42,57.23809523809524
login48,18,2,9.0
login49,118,7,16.857142857142858
login50,3440,43,80.0
login51,3504,43,81.48837209302326
login52,251,14,17.928571428571427
login53,399,6,66.5
login54,15469,43,359.74418604651163
login55,12,5,2.4
login56,251,37,6.783783783783784
login57,2181,38,57.39473684210526
login58,3734,40,93.35
login59,1394,41,34.0
login60,2572,43,59.81395348837209
login61,1766,39,45.282051282051285
login62,4886,42,116.33333333333333
login63,783,8,97.875
login64,5988,41,146.0487804878049
login65,4658,42,110.9047619047619
login66,4382,43,101.90697674418605
login67,1766,40,44.15
login68,1900,42,45.23809523809524
login69,11158,43,259.48837209302326
login70,55,18,3.0555555555555554
login71,12431,43,289.09302325581393
login72,1,1,1.0
login73,51402,41,1253.7073170731708
login74,3356,23,145.91304347826087
login75,3173,34,93.32352941176471
login76,4562,43,106.09302325581395
login77,1700,41,41.46341463414634
login78,5287,40,132.175
login79,3951,42,94.07142857142857
login80,313,6,52.166666666666664
login81,1022,38,26.894736842105264
login82,112,20,5.6
login83,2910,41,70.97560975609755
login84,1535,43,35.69767441860465
login85,348,28,12.428571428571429
login86,2307,20,115.35
login87,119,36,3.3055555555555554
login88,4802,40,120.05
login89,2952,43,68.65116279069767
login90,272,24,11.333333333333334
login91,7259,40,181.475
login92,363,5,72.6
login93,2371,38,62.39473684210526
login94,1160,41,28.29268292682927
login95,6946,42,165.38095238095238
login96,107,7,15.285714285714286
login97,2671,42,63.595238095238095
login98,5388,43,125.30232558139535
login99,482,16,30.125
login100,65,27,2.4074074074074074
login101,11750,40,293.75
login102,614,43,14.279069767441861
login103,367,43,8.534883720930232
login104,1516,9,168.44444444444446
login105,6926,40,173.15
login106,12677,43,294.8139534883721
login107,886,22,40.27272727272727
login108,1907,42,45.404761904761905
login109,165,41,4.024390243902439
login110,117,5,23.4
login111,10385,43,241.51162790697674
login112,262,38,6.894736842105263
login113,232,42,5.523809523809524
login114,1335,11,121.36363636363636
login115,689,35,19.685714285714287
login116,2013,14,143.78571428571428
login117,598,37,16.16216216216216
login118,1862,43,43.30232558139535
login119,64,1,64.0
login120,5206,40,130.15
login121,55,14,3.9285714285714284
login122,2710,39,69.48717948717949
login123,4023,43,93.55813953488372
login124,1714,43,39.86046511627907
login125,1220,43,28.372093023255815
login126,1051,20,52.55
login127,6832,43,158.88372093023256
login128,1623,38,42.71052631578947
login129,2299,24,95.79166666666667
login130,1,1,1.0
login131,776,43,18.046511627906977
login132,25608,43,595.5348837209302
login133,271,43,6.3023255813953485
login134,9803,40,245.075
login135,5498,43,127.86046511627907
login136,638,5,127.6
login137,263,39,6.743589743589744
login138,38,36,1.0555555555555556
login139,28681,42,682.8809523809524
login140,117,23,5.086956521739131
login141,2806,40,70.15
login142,20167,42,480.1666666666667
login143,3265,35,93.28571428571429
login144,4888,43,113.67441860465117
login145,2887,43,67.13953488372093
login146,385,1,385.0
login147,110,9,12.222222222222221
login148,2305,39,59.1025641025641
login149,911,39,23.358974358974358
login150,1503,18,83.5
login151,853,42,20.30952380952381
login152,3527,41,86.02439024390245
login153,5165,43,120.11627906976744
login154,1767,42,42.07142857142857
login155,925,11,84.0909090909091
login156,193,12,16.083333333333332
login157,5140,43,119.53488372093024
login158,253,35,7.228571428571429
login159,1181,41,28.804878048780488
login160,4460,42,106.19047619047619
login161,1728,36,48.0
login162,10539,30,351.3
login163,146,34,4.294117647058823
login164,42,10,4.2
login165,1358,43,31.58139534883721
login166,26092,40,652.3
login167,3896,37,105.29729729729729
login168,1051,43,24.441860465116278
login169,1102,37,29.783783783783782
login170,10864,43,252.65116279069767
login171,8092,39,207.48717948717947
login172,95,37,2.5675675675675675
login173,201,25,8.04
login174,688,30,22.933333333333334
login175,2223,18,123.5
login176,72,27,2.6666666666666665
login177,3803,42,90.54761904761905
login178,6161,42,146.6904761904762
login179,5453,39,139.82051282051282
login180,272,40,6.8
login181,26365,43,613.1395348837209
login182,1271,36,35.30555555555556
login183,20,32,0.625
login184,460,43,10.69767441860465
login185,246,42,5.857142857142857
login186,935,42,22.261904761904763
login187,319,39,8.179487179487179
login188,135,5,27.0
login189,130,34,3.823529411764706
login190,5989,24,249.54166666666666
login191,14,1,14.0
login192,359,35,10.257142857142858
login193,4427,37,119.64864864864865
login194,2230,40,55.75
login195,143,14,10.214285714285714
login196,661,34,19.441176470588236
login197,1619,39,41.51282051282051
login198,2183,43,50.76744186046512
login199,1641,39,42.07692307692308
login200,151,37,4.081081081081081
login201,2898,43,67.3953488372093
login202,4431,29,152.79310344827587
login203,5279,40,131.975
login204,6482,41,158.09756097560975
login205,678,36,18.833333333333332
login206,2860,43,66.51162790697674
login207,159,36,4.416666666666667
login208,5806,39,148.87179487179486
login209,1026,17,60.35294117647059
login210,1895,27,70.18518518518519
login211,867,41,21.146341463414632
login212,1568,30,52.266666666666666
login213,2524,39,64.71794871794872
login214,1556,42,37.04761904761905
login215,2819,43,65.55813953488372
login216,2712,35,77.48571428571428
login217,4655,36,129.30555555555554
login218,1826,42,43.476190476190474
login219,6503,43,151.2325581395349
login220,1821,43,42.348837209302324
login221,914,43,21.25581395348837
login222,1858,41,45.31707317073171
login223,911,39,23.358974358974358
login224,24665,43,573.6046511627907
login225,213,42,5.071428571428571
login226,502,32,15.6875
login227,25,1,25.0
login228,48,1,48.0
login229,347,41,8.463414634146341
login230,325,32,10.15625
login231,2524,36,70.11111111111111
login232,859,41,20.951219512195124
login233,1529,38,40.23684210526316
login234,3502,43,81.44186046511628
login235,1234,42,29.38095238095238
login236,6001,42,142.88095238095238
login237,1043,40,26.075
login238,4462,38,117.42105263157895
login239,156,20,7.8
login240,1619,43,37.651162790697676
login241,560,31,18.06451612903226
login242,16961,43,394.4418604651163
login243,446,43,10.372093023255815
login244,1755,35,50.142857142857146
login245,3189,42,75.92857142857143
login246,2374,20,118.7
login247,173,3,57.666666666666664
login248,1202,30,40.06666666666667
login249,59,5,11.8
login250,8331,42,198.35714285714286
login251,8065,41,196.70731707317074
login252,181,39,4.641025641025641
login253,235,6,39.166666666666664
login254,7562,34,222.41176470588235
login255,3425,20,171.25
login256,5940,38,156.31578947368422
login257,23,2,11.5
login258,861,41,21.0
login259,966,43,22.46511627906977
login260,2522,21,120.0952380952381
login261,282,43,6.558139534883721
login262,1381,36,38.361111111111114
login263,173,18,9.61111111111111
login264,2088,29,72.0
login265,1223,37,33.054054054054056
login266,640,5,128.0
login267,712,42,16.952380952380953
login268,1202,41,29.317073170731707
login269,3435,31,110.80645161290323
login270,5096,42,121.33333333333333
login271,3655,43,85.0
login272,3306,39,84.76923076923077
login273,5614,40,140.35
login274,384,5,76.8
login275,763,42,18.166666666666668
login276,3170,17,186.47058823529412
login277,1441,20,72.05
login278,264,35,7.542857142857143
login279,1774,42,42.23809523809524
login280,2644,43,61.48837209302326
login281,2175,43,50.58139534883721
login282,1,1,1.0
